loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
5000,5000,4975,1,0.1065,162.87,2,10,1,24000,3,2,27.65,0,1,3,0,13648,0.837,9
2500,2500,2500,2,0.1527,59.83,3,0.5,1,30000,2,2,1,0,5,3,0,1687,0.094,4
2400,2400,2400,1,0.1596,84.33,3,10,1,12252,1,2,8.72,0,2,2,0,2956,0.985,10
10000,10000,10000,1,0.1349,339.31,3,10,1,49200,2,2,20,0,1,10,0,5598,0.21,37
3000,3000,3000,2,0.1269,67.79,2,1,1,80000,2,2,17.94,0,0,15,0,27783,0.539,38
5000,5000,5000,1,0.079,156.46,1,2,1,36000,2,2,11.2,0,3,9,0,7963,0.283,12
7000,7000,7000,2,0.1596,170.08,3,8,1,47004,1,2,23.51,0,1,7,0,17726,0.856,11
3000,3000,3000,1,0.1864,109.43,5,9,1,48000,2,2,5.35,0,2,4,0,8221,0.875,4
5600,5600,5600,2,0.2128,152.39,6,4,2,40000,2,2,5.55,0,2,11,0,5210,0.326,13
5375,5375,5350,2,0.1269,121.45,2,0.5,1,15000,3,2,18.08,0,0,2,0,9279,0.365,3
6500,6500,6500,2,0.1465,153.45,3,5,2,72000,1,2,16.12,0,2,14,0,4032,0.206,23
12000,12000,12000,1,0.1269,402.54,2,10,2,75000,2,2,10.78,0,0,12,0,23336,0.671,34
9000,9000,9000,1,0.1349,305.38,3,0.5,1,30000,2,2,10.08,0,1,4,0,10452,0.917,9
3000,3000,3000,1,0.0991,96.68,2,2,1,15000,2,2,12.56,0,2,11,0,7323,0.431,11
10000,10000,10000,1,0.1065,325.74,2,2,1,100000,2,2,7.06,0,2,14,0,11997,0.555,29
1000,1000,1000,1,0.1629,35.31,4,0.5,1,28000,1,2,20.31,0,1,11,0,6524,0.815,23
10000,10000,10000,1,0.1527,347.98,3,4,1,42000,1,2,18.6,0,2,14,0,24043,0.702,28
3600,3600,3600,1,0.0603,109.57,1,10,3,110000,1,2,10.52,0,0,20,0,22836,0.16,42
6000,6000,6000,1,0.1171,198.46,2,1,3,84000,3,2,18.44,2,0,4,0,0,0.3773,14